modalidade,song_id,quadrant,path_esperado
bimodal_balanced_lyrics,A001,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A001.txt
bimodal_balanced_lyrics,A002,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A002.txt
bimodal_balanced_lyrics,A003,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A003.txt
bimodal_balanced_lyrics,A004,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A004.txt
bimodal_balanced_lyrics,A005,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A005.txt
bimodal_balanced_lyrics,A011,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A011.txt
bimodal_balanced_lyrics,A013,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A013.txt
bimodal_balanced_lyrics,A014,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A014.txt
bimodal_balanced_lyrics,A017,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A017.txt
bimodal_balanced_lyrics,A018,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A018.txt
bimodal_balanced_lyrics,A019,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A019.txt
bimodal_balanced_lyrics,A021,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A021.txt
bimodal_balanced_lyrics,A023,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A023.txt
bimodal_balanced_lyrics,A024,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A024.txt
bimodal_balanced_lyrics,A025,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A025.txt
bimodal_balanced_lyrics,A029,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A029.txt
bimodal_balanced_lyrics,A030,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A030.txt
bimodal_balanced_lyrics,A032,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A032.txt
bimodal_balanced_lyrics,A034,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A034.txt
bimodal_balanced_lyrics,A035,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A035.txt
bimodal_balanced_lyrics,A038,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A038.txt
bimodal_balanced_lyrics,A039,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A039.txt
bimodal_balanced_lyrics,A042,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A042.txt
bimodal_balanced_lyrics,A043,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A043.txt
bimodal_balanced_lyrics,A045,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A045.txt
bimodal_balanced_lyrics,A048,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A048.txt
bimodal_balanced_lyrics,A051,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A051.txt
bimodal_balanced_lyrics,A055,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A055.txt
bimodal_balanced_lyrics,A060,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A060.txt
bimodal_balanced_lyrics,A061-66,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A061-66.txt
bimodal_balanced_lyrics,A064-116,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A064-116.txt
bimodal_balanced_lyrics,A066-140,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A066-140.txt
bimodal_balanced_lyrics,A067-104,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A067-104.txt
bimodal_balanced_lyrics,A071-70,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A071-70.txt
bimodal_balanced_lyrics,A073-143,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A073-143.txt
bimodal_balanced_lyrics,A077-122,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A077-122.txt
bimodal_balanced_lyrics,A078-173,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A078-173.txt
bimodal_balanced_lyrics,A081-67,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A081-67.txt
bimodal_balanced_lyrics,A082-93,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A082-93.txt
bimodal_balanced_lyrics,A083-158,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A083-158.txt
bimodal_balanced_lyrics,A084-75,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A084-75.txt
bimodal_balanced_lyrics,A085-69,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A085-69.txt
bimodal_balanced_lyrics,A088-136,Q4,../data/bimodal/bimodal_balanced/lyrics\Q4\A088-136.txt
bimodal_balanced_lyrics,A090-94,Q2,../data/bimodal/bimodal_balanced/lyrics\Q2\A090-94.txt
bimodal_balanced_lyrics,A092-96,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A092-96.txt
bimodal_balanced_lyrics,A094-110,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A094-110.txt
bimodal_balanced_lyrics,A096-68,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A096-68.txt
bimodal_balanced_lyrics,A097-152,Q3,../data/bimodal/bimodal_balanced/lyrics\Q3\A097-152.txt
bimodal_balanced_lyrics,A101-111,Q1,../data/bimodal/bimodal_balanced/lyrics\Q1\A101-111.txt
